日期,价格
20140513,4442.31
20140514,4438.46
20140515,4476.92
20140516,4496.15
20140519,4507.69
20140520,4526.92
20140521,4526.92
20140522,4515.38
20140523,4496.15
20140526,4496.15
20140527,4496.15
20140528,4511.54
20140529,4511.54
20140530,4511.54
20140602,4511.54
20140603,4481.54
20140604,4473.85
20140605,4473.85
20140606,4473.85
20140609,4473.85
20140610,4459.23
20140611,4459.23
20140612,4451.54
20140613,4451.54
20140616,4415.38
20140617,4415.38
20140618,4400.00
20140619,4380.77
20140620,4380.77
20140623,4380.77
20140624,4376.92
20140625,4342.31
20140626,4342.31
20140627,4339.23
20140630,4323.85
20140701,4323.85
20140702,4323.85
20140703,4316.15
20140704,4316.15
20140707,4316.15
20140708,4308.46
20140709,4308.46
20140710,4308.46
20140711,4308.46
20140714,4323.85
20140715,4323.85
20140716,4339.23
20140717,4354.62
20140718,4358.46
20140721,4358.46
20140722,4358.46
20140723,4366.15
20140724,4366.15
20140725,4373.85
20140728,4373.85
20140729,4385.38
20140730,4385.38
20140731,4385.38
20140801,4385.38
20140804,4393.08
20140805,4393.08
20140806,4393.08
20140807,4396.92
20140808,4409.23
20140811,4409.23
20140812,4409.23
20140813,4409.23
20140814,4438.46
20140815,4438.46
20140818,4438.46
20140819,4446.15
20140820,4446.15
20140821,4469.23
20140822,4469.23
20140825,4480.00
20140826,4480.00
20140827,4480.00
20140828,4480.00
20140829,4480.00
20140901,4549.23
20140902,4549.23
20140903,4549.23
20140904,4564.62
20140905,4564.62
20140908,4564.62
20140909,4508.46
20140910,4508.46
20140911,4485.38
20140912,4485.38
20140915,4485.38
20140916,4485.38
20140917,4454.62
20140918,4385.38
20140919,4374.62
20140922,4373.08
20140923,4365.38
20140924,4365.38
20140925,4357.69
20140926,4350.00
20140929,4350.00
20140930,4350.00
20141001,4350.00
20141002,4350.00
20141003,4350.00
20141006,4350.00
20141007,4350.00
20141008,4350.00
20141009,4365.38
20141010,4380.77
20141011,4384.62
20141013,4384.62
20141014,4384.62
20141015,4384.62
20141016,4392.31
20141017,4410.00
20141020,4479.23
20141021,4486.92
20141022,4502.31
20141023,4502.31
20141024,4517.69
20141027,4517.69
20141028,4525.38
20141029,4525.38
20141030,4534.62
20141031,4538.46
20141103,4538.46
20141104,4538.46
20141105,4538.46
20141106,4557.69
20141107,4557.69
20141110,4557.69
20141111,4557.69
20141112,4557.69
20141113,4550.00
20141114,4550.00
20141117,4550.00
20141118,4550.00
20141119,4550.00
20141120,4553.85
20141121,4546.15
20141124,4553.85
20141125,4550.00
20141126,4526.92
20141127,4526.92
20141128,4519.23
20141201,4534.62
20141202,4550.00
20141203,4569.23
20141204,4584.62
20141205,4623.08
20141208,4688.46
20141209,4696.15
20141210,4776.92
20141211,4815.38
20141212,4815.38
20141215,4826.92
20141216,4834.62
20141217,4834.62
20141218,4834.62
20141219,4834.62
20141222,4888.46
20141223,4996.15
20141224,5019.23
20141225,5011.54
20141226,5011.54
20141229,5011.54
20141230,5038.46
20141231,5034.62
20150101,5034.62
20150102,5034.62
20150105,5007.69
20150106,5007.69
20150107,4988.46
20150108,4946.15
20150109,4946.15
20150112,4938.46
20150113,4938.46
20150114,4850.00
20150115,4838.46
20150116,4838.46
20150119,4769.23
20150120,4769.23
20150121,4761.54
20150122,4596.15
20150123,4596.15
20150126,4511.54
20150127,4423.08
20150128,4403.85
20150129,4365.38
20150130,4365.38
20150202,4350.00
20150203,4350.00
20150204,4326.92
20150205,4326.92
20150206,4303.85
20150209,4303.85
20150210,4303.85
20150211,4303.85
20150212,4303.85
20150213,4280.77
20150216,4280.77
20150217,4280.77
20150218,4280.77
20150219,4280.77
20150220,4280.77
20150223,4280.77
20150224,4280.77
20150225,4280.77
20150226,4280.77
20150227,4280.77
20150302,4265.38
20150303,4265.38
20150304,4234.62
20150305,4234.62
20150306,4234.62
20150309,4223.08
20150310,4207.69
20150311,4207.69
20150312,4207.69
20150313,4207.69
20150316,4200.00
20150317,4184.62
20150318,4184.62
20150319,4184.62
20150320,4184.62
20150323,4138.46
20150324,4138.46
20150325,4138.46
20150326,4130.77
20150327,4130.77
20150328,4130.77
20150330,4130.77
20150331,4130.77
20150401,4123.08
20150402,4115.38
20150403,4111.54
20150406,4111.54
20150407,4111.54
20150408,4111.54
20150409,4119.23
20150410,4119.23
20150413,4119.23
20150414,4126.92
20150415,4134.62
20150416,4134.62
20150417,4139.23
20150420,4134.62
20150421,4134.62
20150422,4134.62
20150423,4134.62
20150424,4126.92
20150427,4126.92
20150428,4104.62
20150429,4104.62
20150430,4104.62
20150501,4104.62
20150504,4050.77
20150505,4031.54
20150506,4031.54
20150507,4031.54
20150508,4000.77
20150511,4000.77
20150512,3993.08
20150513,3993.08
20150514,3993.08
20150515,3993.08
20150518,3988.46
20150519,3950.00
20150520,3950.00
20150521,3950.00
20150522,3950.00
20150525,3950.00
20150526,3950.00
20150527,3942.31
20150528,3942.31
20150529,3942.31
20150601,3926.92
20150602,3926.92
20150603,3926.92
20150604,3926.92
20150605,3926.92
20150608,3919.23
20150609,3919.23
20150610,3919.23
20150611,3919.23
20150612,3919.23
20150615,3919.23
20150616,3911.54
20150617,3911.54
20150618,3911.54
20150619,3884.62
20150622,3884.62
20150623,3884.62
20150624,3889.23
20150625,3889.23
20150626,3889.23
20150629,3889.23
20150630,3889.23
20150701,3889.23
20150702,3889.23
20150703,3927.69
20150706,3934.62
20150707,3934.62
20150708,3934.62
20150709,3934.62
20150710,3934.62
20150713,3934.62
20150714,3934.62
20150715,3926.92
20150716,3926.92
20150717,3926.92
20150720,3926.92
20150721,3926.92
20150722,3930.77
20150723,3923.08
20150724,3923.08
20150727,3923.08
20150728,3884.62
20150729,3861.54
20150730,3846.15
20150731,3830.77
20150803,3823.08
20150804,3815.38
20150805,3815.38
20150806,3815.38
20150807,3815.38
20150810,3784.62
20150814,3784.62
20150817,3784.62
20150818,3784.62
20150819,3784.62
20150820,3784.62
20150821,3792.31
20150824,3792.31
20150825,3792.31
20150826,3792.31
20150827,3792.31
20150828,3792.31
20150831,3792.31
20150901,3792.31
20150902,3792.31
20150903,3792.31
20150904,3792.31
20150907,3792.31
20150908,3784.62
20150909,3776.92
20150910,3776.92
20150911,3761.54
20150914,3761.54
20150915,3746.15
20150916,3746.15
20150917,3816.67
20150918,3746.15
20150921,3746.15
20150922,3746.15
20150923,3746.15
20150924,3746.15
20150925,3738.46
20150928,3738.46
20150929,3738.46
20150930,3738.46
20151001,3738.46
20151002,3738.46
20151005,3738.46
20151006,3738.46
20151007,3738.46
20151008,3723.08
20151009,3723.08
20151010,3719.23
20151012,3719.23
20151013,3715.38
20151014,3715.38
20151015,3715.38
20151016,3715.38
20151019,3715.38
20151020,3715.38
20151021,3707.69
20151022,3707.69
20151023,3707.69
20151026,3707.69
20151027,3707.69
20151028,3707.69
20151029,3707.69
20151030,3707.69
20151102,3707.69
20151103,3702.31
20151104,3710.00
20151105,3710.00
20151106,3694.62
20151109,3686.92
20151110,3686.92
20151111,3671.54
20151112,3671.54
20151113,3656.15
20151116,3640.77
20151117,3640.77
20151118,3648.46
20151119,3635.38
20151120,3635.38
20151123,3612.31
20151124,3596.92
20151125,3596.92
20151126,3573.85
20151127,3566.15
20151130,3566.15
20151201,3500.00
20151202,3461.54
20151203,3461.54
20151204,3461.54
20151207,3396.15
20151208,3365.38
20151209,3365.38
20151210,3350.00
20151211,3350.00
20151214,3350.00
20151215,3350.00
20151216,3334.62
20151217,3303.85
20151218,3303.85
20151221,3296.15
20151222,3296.15
20151223,3296.15
20151224,3296.15
20151225,3296.15
20151228,3365.38
20151229,3397.69
20151230,3397.69
20151231,3420.77
20160101,3420.77
20160104,3420.77
20160105,3428.46
20160106,3428.46
20160107,3420.77
20160108,3420.77
20160111,3420.77
20160112,3417.69
20160113,3417.69
20160114,3480.77
20160115,3480.77
20160118,3480.77
20160119,3480.77
20160120,3480.77
20160121,3480.77
20160122,3480.77
20160125,3496.15
20160126,3519.23
20160127,3523.08
20160128,3561.54
20160129,3584.62
20160201,3584.62
20160202,3584.62
20160203,3584.62
20160204,3584.62
20160205,3542.31
20160208,3542.31
20160209,3542.31
20160210,3542.31
20160211,3542.31
20160212,3542.31
20160214,3542.31
20160215,3373.08
20160216,3319.23
20160217,3319.23
20160218,3319.23
20160219,3319.23
20160222,3296.15
20160223,3296.15
20160224,3280.77
20160225,3280.77
20160226,3265.38
20160229,3265.38
20160301,3265.38
20160302,3265.38
20160303,3280.77
20160304,3280.77
20160307,3280.77
20160308,3280.77
20160309,3280.77
20160310,3273.08
20160311,3273.08
20160315,3273.08
20160316,3273.08
20160317,3273.08
20160318,3273.08
20160321,3273.08
20160322,3259.23
20160323,3259.23
20160324,3259.23
20160325,3259.23
20160328,3254.62
20160329,3239.23
20160330,3239.23
20160331,3208.46
20160401,3208.46
20160404,3208.46
20160405,3208.46
20160406,3208.46
20160407,3185.38
20160408,3185.38
20160411,3185.38
20160412,3162.31
20160413,3162.31
20160414,3162.31
20160415,3173.08
20160418,3173.08
20160419,3173.08
20160420,3173.08
20160421,3173.08
20160422,3173.08
20160425,3180.77
20160426,3180.77
20160427,3180.77
20160428,3180.77
20160429,3180.77
20160502,3180.77
20160503,3180.77
20160504,3180.77
20160505,3180.77
20160506,3158.46
20160509,3158.46
20160510,3158.46
20160511,3154.62
20160512,3154.62
20160513,3154.62
20160516,3154.62
20160517,3154.62
20160518,3154.62
20160519,3154.62
20160520,3150.77
20160523,3150.77
20160524,3127.69
20160525,3127.69
20160526,3096.15
20160527,3094.62
20160530,3081.54
20160531,3081.54
20160601,3081.54
20160602,3073.85
20160603,3073.85
20160606,3073.85
20160607,3060.38
20160608,3051.15
20160609,3051.15
20160610,3051.15
20160613,3048.85
20160614,3045.00
20160615,3045.00
20160616,3045.00
20160617,3045.00
20160620,3045.00
20160621,2998.85
20160622,2968.08
20160623,2968.08
20160624,2968.08
20160627,2969.62
20160628,2972.69
20160629,2972.69
20160630,2972.69
20160701,2975.38
20160704,2971.54
20160705,2973.85
20160706,2990.77
20160707,3006.15
20160708,3040.77
20160711,3144.62
20160712,3156.15
20160713,3144.62
20160714,3121.54
20160715,3103.85
20160718,3088.46
20160719,3088.46
20160720,3086.92
20160721,3079.23
20160722,3075.38
20160725,3075.38
20160726,3053.85
20160727,3043.08
20160728,3035.38
20160729,3035.38
20160801,3031.54
20160802,3031.54
20160803,3031.54
20160804,3031.54
20160805,3033.85
20160808,3037.69
20160809,3038.46
20160810,3040.00
20160811,3050.00
20160812,3050.77
20160815,3056.15
20160816,3056.15
20160817,3056.15
20160818,3060.00
20160819,3066.15
20160822,3063.85
20160823,3063.85
20160824,3063.85
20160825,3063.85
20160826,3063.85
20160829,3063.85
20160830,3056.92
20160831,3059.23
20160901,3059.23
20160902,3059.23
20160905,3059.23
20160906,3051.54
20160907,3048.46
20160908,3036.92
20160909,3036.92
20160912,3029.23
20160913,3029.23
20160914,3023.85
20160915,3023.85
20160916,3023.85
20160918,3021.54
20160919,3017.69
20160920,3017.69
20160921,3015.38
20160922,3015.38
20160923,3011.54
20160926,3003.85
20160927,2992.31
20160928,2978.46
20160929,2978.46
20160930,2978.46
20161003,2978.46
20161004,2978.46
20161005,2978.46
20161006,2978.46
