日期,价格
20130226,118525.00
20130227,118875.00
20130228,118875.00
20130301,118875.00
20130304,117725.00
20130305,117725.00
20130306,117775.00
20130307,117775.00
20130308,117725.00
20130311,117700.00
20130312,118000.00
20130313,118600.00
20130314,118525.00
20130315,119775.00
20130318,117525.00
20130319,117150.00
20130320,116825.00
20130321,118200.00
20130322,118075.00
20130325,119300.00
20130326,118125.00
20130327,117825.00
20130328,117675.00
20130329,116850.00
20130401,115675.00
20130402,115450.00
20130403,114050.00
20130408,113550.00
20130409,114225.00
20130410,114250.00
20130411,113850.00
20130412,113925.00
20130415,109850.00
20130416,108225.00
20130417,109475.00
20130418,106500.00
20130419,107350.00
20130422,106425.00
20130423,106200.00
20130424,106550.00
20130425,107525.00
20130426,108850.00
20130502,104550.00
20130503,104575.00
20130506,107000.00
20130507,106925.00
20130508,106925.00
20130509,107450.00
20130510,107225.00
20130513,107675.00
20130514,107850.00
20130515,107475.00
20130516,105300.00
20130517,105550.00
20130520,104850.00
20130521,106050.00
20130523,105675.00
20130524,105575.00
20130527,105200.00
20130528,104850.00
20130529,105000.00
20130530,104675.00
20130531,104850.00
20130603,105150.00
20130604,106350.00
20130605,106800.00
20130606,106675.00
20130607,106175.00
20130612,106175.00
20130613,102550.00
20130614,101500.00
20130617,102400.00
20130618,101450.00
20130619,100200.00
20130620,99300.00
20130621,97050.00
20130624,97775.00
20130625,96725.00
20130626,97425.00
20130627,97250.00
20130628,97525.00
20130701,97625.00
20130702,98500.00
20130703,98750.00
20130704,98037.50
20130705,97500.00
20130708,95225.00
20130709,95300.00
20130710,94925.00
20130711,98050.00
20130712,97250.00
20130715,97350.00
20130716,96087.50
20130717,97187.50
20130718,97725.00
20130719,98075.00
20130722,99412.50
20130723,99787.50
20130724,99112.50
20130725,99687.50
20130726,99475.00
20130729,97862.50
20130730,97437.50
20130731,97250.00
20130801,98650.00
20130802,98150.00
20130805,98262.50
20130806,98200.00
20130807,97775.00
20130808,98600.00
20130809,100462.50
20130812,102900.00
20130813,103362.50
20130814,103000.00
20130815,103350.00
20130816,103225.00
20130819,103600.00
20130820,103062.50
20130821,102487.50
20130822,102012.50
20130823,102025.00
20130826,102575.00
20130827,102437.50
20130828,102087.50
20130829,100887.50
20130830,99562.50
20130902,98125.00
20130903,97537.50
20130904,97350.00
20130905,97037.50
20130906,97512.50
20130909,98775.00
20130910,98237.50
20130911,97687.50
20130912,97362.50
20130913,97362.50
20130916,98050.00
20130917,98000.00
20130918,97750.00
20130919,97750.00
20130920,97750.00
